,date,temp,pres,prec,wind
210,20121030,1,754,snow,2.0
211,20121101,0,766,,3.0
212,20121102,0,763,,7.0
213,20121103,3,749,,4.0
214,20121104,0,745,snow,1.0
215,20121105,-4,757,snow,1.0
216,20121106,-1,750,snow,1.0
217,20121107,-11,753,snow,2.0
218,20121108,-14,764,,1.0
219,20121109,-12,763,,6.0
220,20121110,-3,753,snow,7.0
221,20121111,-2,759,,5.0
222,20121112,0,737,rain,9.0
223,20121113,-2,744,,3.0
224,20121114,-5,758,snow,9.0
225,20121115,0,750,,8.0
226,20121116,-1,740,snow,5.0
227,20121117,-4,754,snow,8.0
228,20121118,0,745,snow,5.0
229,20121119,-2,750,snow,1.0
230,20121120,-9,763,,1.0
231,20121121,-9,759,snow,10.0
232,20121122,-4,752,snow,7.0
233,20121123,-12,753,,2.0
234,20121124,-7,750,snow,4.0
235,20121125,-2,743,snow,5.0
236,20121126,-14,754,,2.0
237,20121127,-15,762,,2.0
238,20121128,-18,760,,
239,20121129,-14,749,snow,3.0
240,20121130,-17,751,snow,1.0
241,20121201,-22,758,snow,2.0
242,20121202,-15,760,,3.0
243,20121203,-16,762,snow,2.0
244,20121204,-17,760,,7.0
245,20121205,-13,756,,3.0
246,20121206,-17,765,,3.0
247,20121207,-12,753,,2.0
248,20121208,-15,759,,
249,20121209,-18,758,snow,
250,20121210,-26,759,,2.0
251,20121211,-32,763,,1.0
252,20121212,-33,762,,
253,20121213,-35,765,,
254,20121214,-36,769,,
255,20121215,-34,774,,1.0
256,20121216,-35,773,,1.0
257,20121217,-30,774,snow,4.0
258,20121218,-35,774,,2.0
259,20121219,-32,775,,7.0
260,20121220,-27,776,snow,2.0
261,20121221,-29,779,,3.0
262,20121222,-24,767,,2.0
263,20121223,-23,761,,1.0
264,20121224,-20,748,snow,2.0
265,20121225,-24,757,,
266,20121226,-24,761,,2.0
267,20121227,-22,771,,5.0
268,20121228,-14,766,snow,7.0
269,20121229,-10,758,snow,7.0
270,20121230,-15,763,,
271,20121231,-10,762,,1.0
272,20120901,23,751,,1.0
273,20120902,25,745,,1.0
274,20120903,23,741,,3.0
275,20120904,19,745,,3.0
276,20120905,16,744,,4.0
277,20120906,12,751,,3.0
278,20120907,19,752,,3.0
279,20120908,21,753,,3.0
280,20120909,21,756,,1.0
281,20120910,25,755,,1.0
282,20120911,24,750,,1.0
283,20120912,26,745,,1.0
284,20120913,17,748,rain,
